id,instance,site,edge,tdata_max_ns,tctrl_min_ns,rtm_pct,shortfall_ns,no_path,loop_cut,data_from,data_to,ctrl_from,ctrl_to,notes
CMR-RCU-01,routerL1_0_0/InputPortModules_4/RouteComputationUnit,bit3,rise,0.219776,0.884811,302.597,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_0/InputPortModules_4/RouteComputationUnit,bit3,fall,0.200682,0.886213,341.601,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit0,rise,0.257882,0.884294,242.906,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit0,fall,0.199661,0.885861,343.683,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit1,rise,0.301069,0.884793,193.884,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit1,fall,0.217658,0.886197,307.151,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit2,rise,0.303128,0.884771,191.880,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit2,fall,0.218720,0.886165,305.160,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit3,rise,0.176311,0.884811,401.847,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_0/RouteComputationUnit,bit3,fall,0.200679,0.886213,341.607,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_1/RouteComputationUnit,bit0,rise,0.242506,0.884294,264.648,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_1/RouteComputationUnit,bit0,fall,0.218672,0.885861,305.109,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_1/RouteComputationUnit,bit1,rise,0.239021,0.884793,270.174,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_1/RouteComputationUnit,bit1,fall,0.215405,0.886197,311.410,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_1/RouteComputationUnit,bit2,rise,0.241108,0.884771,266.960,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
CMR-RCU-01,routerL1_0_1/InputPortModules_1/RouteComputationUnit,bit2,fall,0.247527,0.886165,258.007,0.000000,0,disable AddressRegister LatchReg latch_cell (dest/req Q startpoints),destQ,RouteSelAnd.g/A1,reqQ,RouteSelAnd.g/Z,critical opening is Z rise with Mat already stable
