port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
99,148,148,4094960,534051,534385,540766,540866,6.381000,6.715000
99,40,40,4028963,596051,596385,608401,608501,12.016000,12.350000
99,212,212,40d4963,623051,623377,632275,632375,8.898000,9.224000
99,370,370,4172960,631051,631385,638080,638180,6.695000,7.029000
99,259,259,4103961,634051,634377,643910,644010,9.533000,9.859000
99,304,304,4130963,703051,703377,717295,717395,13.918000,14.244000
99,308,308,4134960,1232051,1232377,1244425,1244525,12.048000,12.374000
99,334,334,414e962,1921051,1921385,1933443,1933543,12.058000,12.392000
100,352,352,4160960,22051,22385,30942,31042,8.557000,8.891000
100,112,112,4070963,41051,41385,48652,48752,7.267000,7.601000
100,319,319,413f962,31051,31385,68366,68466,36.981000,37.315000
100,244,244,40f4961,50051,50377,74187,74287,23.810000,24.136000
100,368,368,4170962,35051,35385,80098,80198,44.713000,45.047000
100,85,85,4055960,77051,77385,89134,89234,11.749000,12.083000
100,19,19,4013962,88051,88385,96947,97047,8.562000,8.896000
100,226,226,40e2961,61051,61377,102753,102853,41.376000,41.702000
100,245,245,40f5962,94051,94385,108534,108634,14.149000,14.483000
100,43,43,402b960,76051,76385,114340,114440,37.955000,38.289000
100,71,71,4047962,78051,78385,120226,120326,41.841000,42.175000
100,133,133,4085963,116051,116385,126032,126132,9.647000,9.981000
100,214,214,40d6960,117051,117385,137519,137619,20.134000,20.468000
100,200,200,40c8963,134051,134385,146870,146970,12.485000,12.819000
