source_file,row_count,sha256,final_path,final_sha256,classification,acceptance_rule,upstream_source_path
256/01_global_ur/common_near_lossless_latency.csv,18,2f3d5b55110637e0c8e076969685ab2c46e113629895be23d20290a7e43a1ce2,data/256/01_global_ur/common_near_lossless_latency.csv,2f3d5b55110637e0c8e076969685ab2c46e113629895be23d20290a7e43a1ce2,paired_latency_eligible,"only loads where both DUTs are near_lossless, uncensored, full-drain and share trace hash",DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256/01_global_ur/throughput_all_full_drain.csv,40,4484de6995c20ed508b51bb4491c2a912e639e416774fc46d7cf3da7091502e0,data/256/01_global_ur/throughput_all_full_drain.csv,4484de6995c20ed508b51bb4491c2a912e639e416774fc46d7cf3da7091502e0,accepted_throughput,20 loads x 2 DUTs; full-drain 55k/55k and paired trace,DATE paper\experiments\raw\paper256\compact256_20260918_111300\summary_e1.csv
256/02_locality/locality_m120_paired_eligible.csv,6,f9d2b5d82fcecc6a5035ba1a1f04dbead14618547668da706e5404d450676340,data/256/02_locality/locality_m120_paired_eligible.csv,f9d2b5d82fcecc6a5035ba1a1f04dbead14618547668da706e5404d450676340,paired_latency_eligible,"M120; both DUTs pass, near_lossless and paper_eligible; paired canonical trace",DATE paper\experiments\raw\paper256\compact256_repair_20260918_123846\acceptance_e3_m120.csv
256/02_locality/locality_m120_paired_summary.csv,6,b427ea73ddbc1f703c8e50b417448a72d6ec5bd924045e497787f953cd147ab8,data/256/02_locality/locality_m120_paired_summary.csv,b427ea73ddbc1f703c8e50b417448a72d6ec5bd924045e497787f953cd147ab8,paired_metrics_summary,summary rows restricted to the six cases passing paired locality acceptance,DATE paper\experiments\raw\paper256\compact256_repair_20260918_123846\summary_e3_m120.csv
256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_FM256_top0.v3_metrics.csv,1,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,data/256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_FM256_top0.v3_metrics.csv,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\case_logs\LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_FM256_top0.v3_metrics.csv
256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_PROP_temp256_m16_top0.v3_metrics.csv,1,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,data/256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_PROP_temp256_m16_top0.v3_metrics.csv,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\case_logs\LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_PROP_temp256_m16_top0.v3_metrics.csv
256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_FM256_top0.v3_metrics.csv,1,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,data/256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_FM256_top0.v3_metrics.csv,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\case_logs\LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_FM256_top0.v3_metrics.csv
256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_PROP_temp256_m16_top0.v3_metrics.csv,1,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,data/256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_PROP_temp256_m16_top0.v3_metrics.csv,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\case_logs\LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_PROP_temp256_m16_top0.v3_metrics.csv
256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_FM256_top0.v3_metrics.csv,1,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,data/256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_FM256_top0.v3_metrics.csv,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\case_logs\LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_FM256_top0.v3_metrics.csv
256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_PROP_temp256_m16_top0.v3_metrics.csv,1,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,data/256/02_locality/raw/case_logs/LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_PROP_temp256_m16_top0.v3_metrics.csv,07dad897e7eb6d9d0c1e70a7c43c98adf1ddbb2337bbf09a278368cfacab94de,selected_full_drain_case_csv,Copied only when the parent case is present in a paper_eligible acceptance CSV,DATE paper\experiments\curated\paper256\compact256_repair_20260918_123846\case_logs\LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_PROP_temp256_m16_top0.v3_metrics.csv
