port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
51,4955,4955,535b941,796051,796377,829330,829430,32.953000,33.279000
51,6765,6765,5a6d943,797051,797385,834214,834314,36.829000,37.163000
51,5119,5119,53ff942,867051,867377,890136,890236,22.759000,23.085000
51,3288,3288,4cd8942,996051,996377,1024638,1024739,28.261000,28.587000
51,6854,6854,5ac6940,1091051,1091385,1189595,1189695,98.210000,98.544000
51,8017,8017,5f51941,1214831,1215157,1234024,1234124,18.867000,19.193000
51,7446,7446,5d16940,1283051,1283377,1298628,1298728,15.251000,15.577000
51,7104,7104,5bc0943,1303018,1303352,1339503,1339603,36.151000,36.485000
51,7826,7826,5e92942,1373051,1373385,1394352,1394452,20.967000,21.301000
51,9929,9929,66c9940,1462043,1462369,1477719,1477819,15.350000,15.676000
51,10396,10396,689c942,1508051,1508385,1520030,1520130,11.645000,11.979000
51,7666,7666,5df2943,1541051,1541385,1584025,1584125,42.640000,42.974000
51,5806,5806,56ae940,1562051,1562377,1589769,1589869,27.392000,27.718000
51,9960,9960,66e8942,1828049,1828375,1860527,1860627,32.152000,32.478000
51,9472,9472,6500942,1990051,1990377,2013787,2013887,23.410000,23.736000
51,10323,10323,6853940,2128051,2128385,2140344,2140444,11.959000,12.293000
51,9740,9740,660c941,2181051,2181385,2194377,2194477,12.992000,13.326000
51,10793,10793,6a29941,2270051,2270385,2282451,2282551,12.066000,12.400000
51,8651,8651,61cb940,2330051,2330385,2344535,2344635,14.150000,14.484000
52,207,207,40cf941,20051,20385,32421,32521,12.036000,12.370000
52,959,959,43bf941,171051,171385,179763,179863,8.378000,8.712000
52,545,545,4221941,148051,148385,184626,184726,36.241000,36.575000
52,267,267,410b942,107051,107377,189158,189258,81.781000,82.107000
52,1269,1269,44f5940,184051,184377,196069,196169,11.692000,12.018000
52,548,548,4224942,223051,223385,239313,239413,15.928000,16.262000
52,625,625,4271943,226051,226385,262297,262397,35.912000,36.246000
52,1437,1437,459d942,233051,233385,276733,276833,43.348000,43.682000
52,1661,1661,467d943,252051,252377,282449,282549,30.072000,30.398000
52,605,605,425d943,234051,234385,306797,306897,72.412000,72.746000
52,3810,3810,4ee2940,479051,479377,487876,487976,8.499000,8.825000
52,1086,1086,443e940,444051,444385,493556,493656,49.171000,49.505000
52,2909,2909,4b5d942,571051,571377,583409,583509,12.032000,12.358000
52,3827,3827,4ef3942,569051,569377,658971,659071,89.594000,89.920000
52,7232,7232,5c40942,679925,680251,692881,692981,12.630000,12.956000
52,7261,7261,5c5d942,728051,728385,754241,754341,25.856000,26.190000
52,4000,4000,4fa0942,727050,727376,759104,759204,31.728000,32.054000
52,2903,2903,4b57940,752051,752377,764143,764243,11.766000,12.092000
52,4118,4118,5016940,929051,929377,954052,954152,24.675000,25.001000
52,5205,5205,5455942,961051,961385,974579,974679,13.194000,13.528000
52,5672,5672,5628942,976051,976377,989347,989447,12.970000,13.296000
52,4308,4308,50d4942,954051,954377,1005956,1006056,51.579000,51.905000
52,5259,5259,548b941,1009051,1009377,1041210,1041310,31.833000,32.159000
52,3676,3676,4e5c943,1001051,1001385,1052753,1052853,51.368000,51.702000
52,6597,6597,59c5940,1070932,1071266,1102457,1102557,31.191000,31.525000
52,6329,6329,58b9941,1042051,1042377,1125448,1125548,83.071000,83.397000
52,6019,6019,5783942,1118051,1118385,1130012,1130112,11.627000,11.961000
52,10974,10974,6ade942,1145051,1145385,1158429,1158529,13.044000,13.378000
52,5003,5003,538b941,1142082,1142408,1164148,1164248,21.740000,22.066000
52,7420,7420,5cfc941,1143833,1144159,1209444,1209544,65.285000,65.611000
52,6074,6074,57ba941,1213051,1213377,1228181,1228281,14.804000,15.130000
52,8127,8127,5fbf940,1311051,1311377,1330852,1330952,19.475000,19.801000
52,9170,9170,63d2943,1262051,1262385,1336602,1336702,74.217000,74.551000
52,8550,8550,6166941,1332051,1332385,1362257,1362357,29.872000,30.206000
52,10815,10815,6a3f943,1494051,1494377,1514259,1514359,19.882000,20.208000
52,9331,9331,6473940,1510051,1510377,1523756,1523856,13.379000,13.705000
52,7761,7761,5e51941,1572051,1572377,1588279,1588379,15.902000,16.228000
52,10739,10739,69f3943,1639051,1639377,1654706,1654806,15.329000,15.655000
52,10856,10856,6a68943,1727993,1728327,1740766,1740866,12.439000,12.773000
52,5971,5971,5753940,1728051,1728385,1745288,1745388,16.903000,17.237000
52,8320,8320,6080942,1765051,1765385,1784996,1785096,19.611000,19.945000
52,7942,7942,5f06940,1787051,1787385,1805809,1805909,18.424000,18.758000
52,9549,9549,654d940,1813051,1813377,1846300,1846400,32.923000,33.249000
52,9087,9087,637f942,1942051,1942377,1955372,1955472,12.995000,13.321000
52,9872,9872,6690940,1970051,1970377,1982322,1982422,11.945000,12.271000
52,9566,9566,655e941,1980051,1980377,1993745,1993845,13.368000,13.694000
52,9300,9300,6454940,2016051,2016377,2028170,2028270,11.793000,12.119000
52,9218,9218,6402942,2126990,2127316,2143825,2143925,16.509000,16.835000
52,8854,8854,6296943,2196051,2196377,2214482,2214582,18.105000,18.431000
52,9776,9776,6630941,2474051,2474377,2487631,2487731,13.254000,13.580000
53,109,109,406d942,23051,23385,38227,38327,14.842000,15.176000
53,21,21,4015943,47051,47385,72552,72652,25.167000,25.501000
53,64,64,4040942,87051,87385,104839,104939,17.454000,17.788000
53,530,530,4212940,114051,114385,125856,125956,11.471000,11.805000
53,418,418,41a2943,122051,122385,148722,148822,26.337000,26.671000
53,1428,1428,4594940,143051,143377,171907,172007,28.530000,28.856000
53,1061,1061,4425942,183051,183385,190352,190452,6.967000,7.301000
53,492,492,41ec942,203051,203377,213126,213226,9.749000,10.075000
53,2759,2759,4ac7941,207051,207377,233604,233704,26.227000,26.553000
53,1718,1718,46b6940,294180,294506,322996,323096,28.490000,28.816000
53,1113,1113,4459940,314051,314377,346090,346190,31.713000,32.039000
53,2723,2723,4aa3941,489051,489377,543666,543766,54.289000,54.615000
53,3245,3245,4cad941,581051,581377,639501,639601,58.124000,58.450000
53,6460,6460,593c942,668997,669331,677900,678000,8.569000,8.903000
53,5837,5837,56cd940,712077,712411,750364,750464,37.953000,38.287000
53,7107,7107,5bc3942,880446,880780,889346,889446,8.566000,8.900000
53,3420,3420,4d5c941,876051,876385,899083,899183,22.698000,23.032000
53,3424,3424,4d60942,878083,878409,925023,925123,46.614000,46.940000
53,6424,6424,5918941,931051,931377,942534,942634,11.157000,11.483000
53,6768,6768,5a70941,991051,991385,1052240,1052340,60.855000,61.189000
53,8866,8866,62a2942,1048051,1048377,1088887,1088987,40.510000,40.836000
53,4613,4613,5205943,1019051,1019377,1093706,1093806,74.329000,74.655000
53,5574,5574,55c6942,1090051,1090385,1098943,1099043,8.558000,8.892000
53,8396,8396,60cc942,1045051,1045385,1108197,1108297,62.812000,63.146000
53,4423,4423,5147942,836051,836385,1119739,1119839,283.354000,283.688000
53,8770,8770,6242943,1059051,1059385,1143004,1143104,83.619000,83.953000
53,6826,6826,5aaa940,1103051,1103385,1148833,1148933,45.448000,45.782000
53,6237,6237,585d942,1137051,1137377,1215263,1215363,77.886000,78.212000
53,3915,3915,4f4b940,1301051,1301377,1307564,1307664,6.187000,6.513000
53,8221,8221,601d941,1308051,1308385,1320205,1320305,11.820000,12.154000
53,4208,4208,5070941,1208051,1208385,1325068,1325168,116.683000,117.017000
53,6194,6194,5832942,1327051,1327385,1362893,1362993,35.508000,35.842000
53,9157,9157,63c5940,1289051,1289385,1369281,1369381,79.896000,80.230000
53,10212,10212,67e4943,1419051,1419385,1427936,1428036,8.551000,8.885000
53,6619,6619,59db943,1539051,1539385,1554265,1554365,14.880000,15.214000
53,9304,9304,6458941,1534051,1534377,1564947,1565047,30.570000,30.896000
53,9480,9480,6508941,1553051,1553377,1569433,1569533,16.056000,16.382000
53,10860,10860,6a6c940,1494106,1494440,1574315,1574415,79.875000,80.209000
53,8847,8847,628f940,1676051,1676385,1684991,1685091,8.606000,8.940000
53,6610,6610,59d2942,1696051,1696385,1708487,1708587,12.102000,12.436000
53,9089,9089,6381942,1757051,1757385,1763712,1763812,6.327000,6.661000
53,9812,9812,6654941,1769051,1769377,1779253,1779353,9.876000,10.202000
53,10714,10714,69da942,1865051,1865377,1879466,1879566,14.089000,14.415000
53,10411,10411,68ab943,1921051,1921385,1939059,1939159,17.674000,18.008000
53,10083,10083,6763941,1992051,1992385,2034804,2034904,42.419000,42.753000
53,9820,9820,665c942,2166051,2166377,2178393,2178493,12.016000,12.342000
53,10204,10204,67dc943,2189051,2189377,2201961,2202061,12.584000,12.910000
54,25,25,4019941,30051,30385,42472,42572,12.087000,12.421000
54,346,346,415a943,89051,89385,119919,120019,30.534000,30.868000
54,533,533,4215942,115051,115377,144713,144813,29.336000,29.662000
54,1056,1056,4420940,148051,148377,166228,166328,17.851000,18.177000
54,1784,1784,46f8942,146051,146377,177488,177588,31.111000,31.437000
54,354,354,4162941,161051,161385,183168,183268,21.783000,22.117000
54,886,886,4376942,171957,172291,188895,188995,16.604000,16.938000
54,1448,1448,45a8941,191051,191377,227904,228004,36.527000,36.853000
54,1152,1152,4480942,248031,248365,299618,299718,51.253000,51.587000
54,1291,1291,450b941,268051,268385,322814,322914,54.429000,54.763000
54,3246,3246,4cae942,359051,359377,383377,383477,24.000000,24.326000
54,1186,1186,44a2940,323051,323385,393296,393396,69.911000,70.245000
54,2832,2832,4b10941,510051,510377,531689,531789,21.312000,21.638000
54,4927,4927,533f943,516050,516385,570813,570913,54.428000,54.763000
54,3789,3789,4ecd943,575610,575944,595513,595613,19.569000,19.903000
54,3460,3460,4d84941,601513,601847,642002,642102,40.155000,40.489000
54,3059,3059,4bf3942,692051,692385,708357,708457,15.972000,16.306000
54,8435,8435,60f3942,707939,708265,744220,744320,35.955000,36.281000
54,3856,3856,4f10940,731051,731377,764165,764265,32.788000,33.114000
54,4398,4398,512e941,763051,763385,809820,809920,46.435000,46.769000
54,2693,2693,4a85942,743051,743385,840087,840187,96.702000,97.036000
54,5107,5107,53f3943,770043,770369,854384,854484,84.015000,84.341000
54,5171,5171,5433940,832051,832377,896146,896246,63.769000,64.095000
54,5914,5914,571a940,891033,891359,918348,918448,26.989000,27.315000
54,5371,5371,54fb941,919051,919385,955656,955756,36.271000,36.605000
54,4894,4894,531e942,924051,924377,962134,962234,37.757000,38.083000
54,9047,9047,6357943,962051,962385,968613,968713,6.228000,6.562000
54,7581,7581,5d9d942,958051,958385,985216,985316,26.831000,27.165000
54,5264,5264,5490942,901051,901385,999167,999267,97.782000,98.116000
54,6712,6712,5a38942,1027312,1027638,1089689,1089789,62.051000,62.377000
54,5103,5103,53ef940,1053051,1053377,1097546,1097646,44.169000,44.495000
54,5271,5271,5497942,1097394,1097728,1101977,1102077,4.249000,4.583000
54,8340,8340,6094943,1140051,1140377,1182788,1182888,42.411000,42.737000
54,4214,4214,5076943,1236051,1236377,1244780,1244880,8.403000,8.729000
54,10299,10299,683b943,1138051,1138377,1249677,1249777,111.300000,111.626000
54,6819,6819,5aa3943,1274051,1274385,1282680,1282780,8.295000,8.629000
54,5814,5814,56b6941,1357203,1357529,1395045,1395145,37.516000,37.842000
54,7771,7771,5e5b941,1417051,1417385,1432508,1432608,15.123000,15.457000
54,10809,10809,6a39940,1570051,1570385,1582360,1582460,11.975000,12.309000
54,10259,10259,6813942,1984051,1984385,2013629,2013729,29.244000,29.578000
54,10424,10424,68b8941,2223051,2223385,2246357,2246457,22.972000,23.306000
54,10833,10833,6a51941,2366051,2366385,2379366,2379466,12.981000,13.315000
54,10715,10715,69db940,2670051,2670377,2682534,2682634,12.157000,12.483000
55,708,708,42c4942,40994,41320,52439,52539,11.119000,11.445000
55,215,215,40d7940,48051,48385,69843,69943,21.458000,21.792000
55,319,319,413f942,62051,62377,91113,91213,28.736000,29.062000
