port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
40,336,336,4150960,3903051,3903385,3915340,3915440,11.955000,12.289000
40,313,313,4139962,3925051,3925385,3933837,3933937,8.452000,8.786000
40,237,237,40ed962,4200051,4200385,4208939,4209039,8.554000,8.888000
40,341,341,4155961,4792051,4792385,4800868,4800968,8.483000,8.817000
40,322,322,4142962,5155051,5155377,5161630,5161730,6.253000,6.579000
40,360,360,4168963,5809051,5809377,5821396,5821496,12.019000,12.345000
41,205,205,40cd960,130051,130384,138930,139030,8.546000,8.879000
41,70,70,4046961,294051,294385,306343,306443,11.958000,12.292000
41,176,176,40b0963,339051,339385,351414,351514,12.029000,12.363000
41,292,292,4124960,383051,383385,397238,397338,13.853000,14.187000
41,146,146,4092961,386044,386370,403047,403147,16.677000,17.003000
41,134,134,4086961,444051,444385,456265,456365,11.880000,12.214000
41,88,88,4058963,601051,601385,613375,613475,11.990000,12.324000
41,106,106,406a962,1010051,1010385,1018889,1018989,8.504000,8.838000
41,53,53,4035961,1012051,1012385,1024788,1024888,12.403000,12.737000
41,241,241,40f1963,1063051,1063377,1075399,1075499,12.022000,12.348000
41,269,269,410d962,1106051,1106377,1114825,1114925,8.448000,8.774000
41,232,232,40e8962,1113051,1113377,1125435,1125535,12.058000,12.384000
41,290,290,4122960,1177051,1177377,1193086,1193186,15.709000,16.035000
41,100,100,4064960,1398051,1398385,1410360,1410460,11.975000,12.309000
41,40,40,4028962,1456051,1456385,1468340,1468440,11.955000,12.289000
41,385,385,4181963,1664051,1664385,1680511,1680611,16.126000,16.460000
41,257,257,4101962,1679051,1679377,1691387,1691487,12.010000,12.336000
41,191,191,40bf963,1702051,1702377,1710934,1711034,8.557000,8.883000
41,308,308,4134960,1949051,1949377,1961328,1961428,11.951000,12.277000
41,10,10,400a960,1993051,1993385,2009871,2009971,16.486000,16.820000
41,37,37,4025962,2045051,2045385,2053963,2054063,8.578000,8.912000
41,307,307,4133962,2477051,2477377,2485964,2486064,8.587000,8.913000
