nodes,topology,mode,traffic,offered_mflit_s_per_port,metric,value,value_unit,eligibility,source_file,source_design,source_case,source_run_id
64,PROP,BC,BC,6.754712,mean_flit_latency,6.6929370200000005,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m10_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,14.536506,mean_flit_latency,6.821520899999999,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m20_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,29.766441,mean_flit_latency,7.123449740000001,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m40_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,44.391727,mean_flit_latency,7.41051948,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m60_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,61.535129,mean_flit_latency,7.60389448,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m80_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,77.961281,mean_flit_latency,7.974478,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m100_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,85.47593,mean_flit_latency,8.20237424,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m120_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,104.865772,mean_flit_latency,8.65903144,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m140_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,124.74054,mean_flit_latency,8.90691488,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m160_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,146.274106,mean_flit_latency,9.14799216,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m180_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,165.169133,mean_flit_latency,9.75994418,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m220_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,176.513782,mean_flit_latency,10.2538105,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m240_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,196.639819,mean_flit_latency,11.40376844,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m280_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,198.538755,mean_flit_latency,10.64159188,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m260_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,230.321344,mean_flit_latency,12.245890600000001,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m320_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,242.473619,mean_flit_latency,12.77060316,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m340_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,264.830508,mean_flit_latency,14.146987560000001,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m360_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,288.817006,mean_flit_latency,13.987101580000001,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m380_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,BC,BC,321.766886,mean_flit_latency,27.283879040000002,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m460_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,Hotspot10,Hotspot10,3.636004,mean_flit_latency,6.214365679999999,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,HOTSPOT10_n64_s202701_m5_PROP_temp64_top16_retry_csv_gate,20260913_prop_temp64_asap_uc_m5_200
64,PROP,Hotspot10,Hotspot10,6.568548,mean_flit_latency,6.44135628,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,HOTSPOT10_n64_s202701_m10_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,Hotspot10,Hotspot10,14.245988,mean_flit_latency,6.7503433600000005,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,HOTSPOT10_n64_s202701_m20_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,Hotspot10,Hotspot10,31.702715,mean_flit_latency,7.53206674,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,HOTSPOT10_n64_s202701_m40_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,Hotspot10,Hotspot10,45.934266,mean_flit_latency,8.404244819999999,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,HOTSPOT10_n64_s202701_m60_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,Hotspot10,Hotspot10,59.701207,mean_flit_latency,9.2317253,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,HOTSPOT10_n64_s202701_m80_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,Hotspot10,Hotspot10,75.768597,mean_flit_latency,10.1448658,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,HOTSPOT10_n64_s202701_m100_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
