nodes,experiment,paper_label,mode,x_name,x_value,metric,value,unit,eligibility,source_file,source_design,source_case,source_run_id
64,network_power,PROP,,result_id,f16_repeated_m5,energy_per_useful_delivery,133.06350668750002,pJ/delivery,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,network_power,FAT,,result_id,pfat_m100,total_power,0.0519,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,PFAT64,,20260915_080229_cmr_pfat64_rpsdel050_1248
64,network_power,Mesh,,result_id,flatmesh_m100,total_power,0.0735,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,FM64,,20260913_104506_cmr_fm64_rpsdel150
64,network_power,PROP,,result_id,dynamic_common_high,total_power,0.1554,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,network_power,PROP,,result_id,f16_native_m5,total_power,0.0359,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,network_power,PROP,,result_id,f16_repeated_m5,total_power,0.0467,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,network_power,PROP,,result_id,prop_m100,total_power,0.0647,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,network_power,Sync,,result_id,sync_common_high,total_power,0.3216,W,accepted,64/07_sync_b8/power_accepted.csv,SYNC_PROP_temp64_B8,,
64,network_power,Sync,,result_id,sync_m100,total_power,0.2843,W,accepted,64/07_sync_b8/power_accepted.csv,SYNC_PROP_temp64_B8,,
64,router_lane_scaling,Async,,parent lanes,1,aggregate_throughput_gflit_s,1.197483,Gflit/s,accepted,64/06_router/router_lane_scaling.csv,async_c1p1,,
64,router_lane_scaling,Async,,parent lanes,2,aggregate_throughput_gflit_s,1.874664,Gflit/s,accepted,64/06_router/router_lane_scaling.csv,async_c1p2,,
64,router_lane_scaling,Async,,parent lanes,4,aggregate_throughput_gflit_s,3.001346,Gflit/s,accepted,64/06_router/router_lane_scaling.csv,async_c1p4,,
64,topology_power_m100,FAT,,M,100,total_pj_per_delivered_flit,10.70907890789079,pJ/flit,accepted,64/05_ppa_power/network_power_async_accepted.csv,PFAT64,,20260915_080229_cmr_pfat64_rpsdel050_1248
64,topology_power_m100,Mesh,,M,100,total_pj_per_delivered_flit,15.166036603660368,pJ/flit,accepted,64/05_ppa_power/network_power_async_accepted.csv,FM64,,20260913_104506_cmr_fm64_rpsdel150
64,topology_power_m100,PROP,,M,100,total_pj_per_delivered_flit,13.35023902390239,pJ/flit,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,topology_power_m100,FAT,,M,100,total_power_w,0.0519,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,PFAT64,,20260915_080229_cmr_pfat64_rpsdel050_1248
64,topology_power_m100,Mesh,,M,100,total_power_w,0.0735,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,FM64,,20260913_104506_cmr_fm64_rpsdel150
64,topology_power_m100,PROP,,M,100,total_power_w,0.0647,W,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,102.660972,delivered_throughput,102.650706,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m140_PFAT64_top8,20260912_195012_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,127.03252,delivered_throughput,127.019817,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m160_PFAT64_top8,20260912_195012_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,14.846452,delivered_throughput,14.844967,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m20_PFAT64_top8,20260912_195012_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,144.568838,delivered_throughput,137.782777,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m180_PFAT64_top8,20260912_195012_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,153.607943,delivered_throughput,136.001401,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m200_PFAT64_top8,20260912_195012_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,168.518119,delivered_throughput,133.874164,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m220_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,177.315025,delivered_throughput,132.925982,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m240_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,199.247641,delivered_throughput,132.117126,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m280_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,204.141625,delivered_throughput,132.467501,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m260_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,226.383657,delivered_throughput,128.966242,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m300_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,230.729474,delivered_throughput,128.114848,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m340_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248
64,unicast64_shared_scan,FAT,UR (Async),offered_mflit_s_per_port,236.384266,delivered_throughput,125.397126,Mflit/s/port,correctness/full-drain throughput,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m320_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248
