nodes,traffic,paper_label,load_m,offered_mflit_s_per_port,delivered_mflit_s_per_port,mean_latency_ns,latency_eligible,source_file,source_design,source_case,source_run_id,latency_source_file,latency_source_design,latency_source_case,latency_source_run_id
64,UR,FAT,180,144.568838,137.782777,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m180_PFAT64_top8,20260912_195012_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,200,153.607943,136.001401,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m200_PFAT64_top8,20260912_195012_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,220,168.518119,133.874164,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m220_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,240,177.315025,132.925982,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m240_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,260,204.141625,132.467501,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m260_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,280,199.247641,132.117126,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m280_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,300,226.383657,128.966242,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m300_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,320,236.384266,125.397126,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m320_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,340,230.729474,128.114848,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m340_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,360,266.729259,124.946654,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m360_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,380,276.646601,122.128408,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m380_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,400,289.030707,122.814928,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m400_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,420,302.224371,120.744681,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m420_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,440,346.298759,118.226396,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m440_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,460,335.012864,117.44211,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m460_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,480,350.650808,115.413207,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m480_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,500,369.910038,111.59446,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m500_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,600,422.983216,109.231186,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m600_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,700,547.477225,97.177207,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m700_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,UR,FAT,800,604.215004,90.46307,,False,64/01_ur/throughput_all_accepted.csv,PFAT64,TOPO-UR_n64_s202701_m800_PFAT64_top8,20260915_080229_cmr_pfat64_rpsdel050_1248,,,,
64,BC,Mesh,5,3.670098,3.669731,9.82823818,True,64/02_benchmarks/bc_hotspot_all_accepted.csv,FM64,TOPO-BC_n64_s202701_m5_FM64_top0_retry_csv_gate,20260913_104506_cmr_fm64_rpsdel150,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,TOPO-BC_n64_s202701_m5_FM64_top0_retry_csv_gate,20260913_104506_cmr_fm64_rpsdel150
64,BC,Mesh,10,6.754712,6.754037,9.948921480000001,True,64/02_benchmarks/bc_hotspot_all_accepted.csv,FM64,TOPO-BC_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150,64/02_benchmarks/bc_hotspot_latency_eligible.csv,FM64,TOPO-BC_n64_s202701_m10_FM64_top0,20260913_104506_cmr_fm64_rpsdel150
